country,-5,-4,-3,-2,-1,1,2,3,4,5,year_changes,mean_before,mean_after,razviv,targeting_inf
Тонга,3.9,6.1,8.7,10.3,11.2,10.8,8.5,6.1,7.4,7.5,2004,8.0,8.0,0,0
Тринидад и Тобаго,3.6,3.5,5.4,4.2,4,3.6,6.8,8.4,7.9,12.1,2004,4.1,7.7,0,0
Тунис,2.8,2.8,1.9,1.9,2.1,2.5,2.4,3.2,3,4.3,2004,2.3,3.1,0,0
Туркменистан,23.5,8,11.6,8.8,5.6,5.9,10.7,8.2,6.3,14.5,2004,11.3,9.1,0,0
Украина,22.7,28.2,12,0.8,5.2,9,13.5,9.1,12.8,25.2,2004,13.3,13.8,0,0
Уругвай,5.7,4.8,4.4,14,19.4,9.2,4.7,6.4,8.1,7.9,2004,9.5,7.2,0,0
Фиджи,2,1.1,4.3,0.7,4.2,2.8,2.3,2.5,4.8,7.7,2004,2.4,4.0,0,0
Хорватия,4,4.6,3.8,1.7,1.8,2,3.3,3.2,2.9,6.1,2004,3.2,3.5,0,0
Шри Ланка,4.7,6.2,14.2,9.6,9,9,11,10,15.8,22.4,2004,8.7,13.5,0,0
Эквадор,52.2,96.1,37.7,12.5,7.9,2.7,2.2,3.3,2.3,8.4,2004,37.9,3.8,0,0
Экваториальная Гвинея,0.4,4.8,8.7,7.6,7.3,4.2,5.6,4.5,2.8,4.7,2004,5.7,4.4,0,0
Эль Сальвадор,0.5,2.3,3.7,1.9,2.1,4.5,4.7,4,4.6,7.3,2004,2.1,5.0,0,0
Эстония,3.3,3.9,5.6,3.6,1.4,3,4.1,4.4,6.7,10.6,2004,3.6,5.7,0,0
Ямайка,6,4.6,9.5,8.2,9.9,14.8,13.4,8.9,9.2,22,2004,7.6,13.6,0,0
Австралия,7.3,7.6,7.2,3.3,1,1.8,1.9,4.6,2.7,0.2,1993,5.2,2.2,1,1
Великобритания,4.1,4.6,5.2,7,7.5,4.3,2.5,1.9,2.7,2.5,1992,5.7,2.8,1,1
Израиль,11.9,10.9,12.3,10,11.3,9,5.4,5.2,1.1,1.1,1997,11.3,4.3,1,1
Исландия,2.3,1.8,1.7,3.2,5.1,6.4,5.2,2.1,3.2,4,2001,2.8,4.2,1,1
Канада,4.2,4.4,4,5,4.8,5.6,1.5,1.9,0.1,2.2,1991,4.5,2.2,1,1
Корея,4.9,4.4,7.5,0.8,2.3,4.1,2.8,3.5,3.6,2.8,2001,4.0,3.4,1,1
Новая Зеландия,15.4,13.2,15.8,6.4,5.7,6.1,2.6,1,1.3,1.8,1990,11.2,2.5,1,1
Норвегия,1.2,2.6,2.3,2.3,3.1,3,1.3,2.5,0.5,1.5,2001,2.3,1.8,1,1
Чехия,11.1,20.8,10.0,9.2,8.7,8.6,10.7,2.1,3.8,4.7,1997,11.9,5.9,1,1
Швеция,3.9,8.8,1.4,4.7,2.9,2.5,1,1.8,1,0.5,1995,4.3,1.4,1,1
