resID	atmilitary	atreligion	ated	atprof	atinc	atrace	atage	atmale	selected	rating
895	2	6	5	2	2	2	4	2	1	0.6666666666666666
895	1	2	6	5	2	5	4	2	1	0.5
895	2	1	3	5	3	6	6	2	0	0.3333333333333333
895	1	4	4	4	4	2	6	1	1	0.8333333333333334
895	2	6	1	3	6	5	3	1	0	0.5
895	1	6	1	6	5	2	5	1	0	0.6666666666666666
895	1	2	2	4	5	6	4	2	1	0.3333333333333333
841	1	2	4	3	5	5	6	2	1	0.6666666666666666
841	2	3	2	2	6	3	6	1	0	0.5
841	1	5	3	1	6	6	2	2	1	0.5
841	2	1	1	3	6	2	5	2	0	0.5
841	2	2	5	3	4	2	5	1	0	0.5
841	1	3	5	1	2	6	2	2	1	0.6666666666666666
841	1	2	3	2	3	3	5	1	0	0.5
841	2	3	6	5	5	5	1	1	1	0.8333333333333334
841	2	6	2	1	6	5	2	2	1	0.5
841	2	1	5	1	3	2	6	2	0	0.5
518	2	5	6	1	4	1	4	2	1	0.6666666666666666
518	1	3	2	4	6	4	5	1	0	0.3333333333333333
518	2	2	2	4	2	4	2	2	1	0.8333333333333334
518	1	3	3	2	6	1	2	2	0	0.5
518	2	3	2	2	3	5	5	2	0	0.5
518	2	1	2	1	2	4	3	2	1	0.8333333333333334
518	2	6	3	3	1	4	4	1	0	0.6666666666666666
518	2	4	2	3	3	2	6	2	1	0.6666666666666666
518	1	5	1	1	4	6	5	1	0	0.6666666666666666
518	2	4	4	1	3	5	3	1	1	0.6666666666666666
631	2	2	3	1	1	2	1	2	1	1
631	1	6	1	3	5	1	5	1	0	0.3333333333333333
631	1	5	6	3	2	5	4	1	0	0.16666666666666666
631	1	4	6	5	3	4	4	2	1	0.6666666666666666
631	2	2	5	3	5	2	1	1	1	0.6666666666666666
631	2	5	1	1	3	4	1	2	0	0.5
631	2	3	5	6	3	6	2	2	1	0.8333333333333334
631	1	2	2	5	4	5	6	1	0	0.6666666666666666
631	2	5	2	6	6	3	5	1	0	0.3333333333333333
631	1	3	1	6	1	2	1	2	1	0.6666666666666666
580	2	1	5	2	4	6	6	2	1	0.8333333333333334
580	2	3	2	3	1	4	5	1	0	0.6666666666666666
580	1	3	1	6	4	2	6	1	0	0.3333333333333333
580	2	5	4	5	3	6	1	1	1	0.8333333333333334
580	1	6	1	3	6	2	6	1	0	0.5
580	2	6	5	1	4	3	4	2	1	0.8333333333333334
580	1	3	6	6	2	6	1	2	0	0.16666666666666666
580	2	6	6	6	1	2	4	1	1	0.8333333333333334
580	1	4	3	1	3	5	3	1	1	0.6666666666666666
580	1	5	4	4	5	3	4	1	0	0.3333333333333333
507	2	2	6	1	6	6	3	2	0	0.5
507	2	3	3	5	4	1	4	1	1	0.6666666666666666
507	1	1	3	2	1	5	5	1	1	0.6666666666666666
507	2	3	1	6	1	2	1	2	0	0.3333333333333333
507	1	5	4	4	3	5	2	2	0	0.16666666666666666
507	1	4	1	6	4	3	3	1	1	0.6666666666666666
507	2	3	6	4	3	4	3	2	1	0.8333333333333334
507	2	1	2	5	4	3	2	1	0	0.16666666666666666
507	2	3	6	3	4	1	4	2	1	0.5
507	1	1	6	1	4	3	6	2	0	0.16666666666666666
699	1	6	6	1	2	3	6	2	0	0.6666666666666666
699	2	2	2	6	5	3	4	2	1	0.8333333333333334
699	2	5	4	6	3	1	1	1	1	0.8333333333333334
699	2	4	6	3	6	1	5	2	0	0.6666666666666666
699	2	1	1	3	3	5	2	1	1	0.8333333333333334
699	1	1	6	2	4	5	6	2	0	0.5
699	1	6	5	3	6	5	5	1	0	0.3333333333333333
699	2	3	4	5	1	1	5	1	1	0.6666666666666666
699	2	3	3	2	2	6	4	2	1	0.6666666666666666
699	2	6	5	5	4	2	4	2	0	0.5
541	2	5	4	6	4	3	6	1	1	0.6666666666666666
541	2	6	1	5	1	6	2	2	0	0.3333333333333333
541	1	2	4	1	3	2	5	2	1	0.6666666666666666
541	2	4	2	5	4	5	2	2	0	0.16666666666666666
541	2	5	1	4	5	5	1	2	0	0.8333333333333334
541	1	3	1	4	1	6	5	1	1	0.5
541	1	5	3	6	4	1	1	2	0	0.8333333333333334
541	2	2	4	3	3	2	1	2	1	0.3333333333333333
541	2	5	6	3	4	2	6	1	0	0.6666666666666666
541	1	2	1	3	2	1	2	2	1	0.3333333333333333
900	1	1	2	2	6	6	3	1	0	0.5
900	2	3	4	4	6	1	3	2	1	0.8333333333333334
900	1	5	3	3	1	3	2	1	0	0.6666666666666666
900	2	2	1	4	5	2	1	1	1	0.3333333333333333
900	1	3	1	2	5	5	3	1	1	0.6666666666666666
900	1	5	5	1	5	3	5	2	0	0.5
900	1	2	5	4	3	3	6	1	0	0.8333333333333334
900	1	2	2	4	6	2	3	2	1	0.6666666666666666
900	1	4	2	1	3	1	1	1	0	0.8333333333333334
900	1	2	4	3	1	2	2	1	1	0.6666666666666666
628	1	6	1	3	3	5	5	1	1	0.8333333333333334
628	1	3	6	4	3	2	1	2	0	0.16666666666666666
628	1	2	4	1	6	2	2	1	1	0.5
628	2	3	3	1	1	4	6	1	0	0.16666666666666666
628	1	2	2	5	2	5	6	2	1	0.16666666666666666
628	2	2	1	2	2	2	1	1	0	0.16666666666666666
628	1	3	5	1	1	2	1	1	1	0.3333333333333333
628	1	3	6	5	1	4	2	2	0	0.16666666666666666
628	1	5	4	3	2	5	6	1	1	0.5
628	2	3	6	6	4	6	6	1	0	0.16666666666666666
823	1	2	6	6	2	5	2	1	0	0.6666666666666666
823	2	5	6	1	4	3	6	1	1	0.6666666666666666
823	2	1	4	3	3	4	6	2	1	0.6666666666666666
823	1	5	1	5	2	1	3	1	0	0.6666666666666666
823	2	3	2	4	2	4	3	2	0	0.5
823	1	4	2	4	4	6	5	2	1	0.5
823	2	3	1	6	3	5	4	1	1	0.3333333333333333
823	1	6	5	2	4	2	6	1	0	0.3333333333333333
823	2	6	6	1	3	1	2	1	0	0.3333333333333333
823	1	1	3	1	3	1	6	2	1	0.3333333333333333
514	1	2	1	1	5	5	1	2	0	0.5
514	1	1	5	2	6	6	4	1	1	0.6666666666666666
514	1	4	2	2	5	6	3	1	1	0.6666666666666666
514	2	3	4	1	6	5	3	1	0	0.8333333333333334
514	1	5	4	3	5	5	2	2	1	0.8333333333333334
514	2	5	6	6	4	6	4	2	0	0.5
514	1	3	2	1	3	6	5	2	1	0.6666666666666666
514	1	2	5	4	1	2	5	2	0	0.8333333333333334
514	2	2	4	3	1	6	4	2	0	0.6666666666666666
514	2	4	2	1	4	1	2	1	1	0.8333333333333334
11	1	4	6	6	6	4	3	1	1	0.5
11	1	5	3	2	3	4	3	2	0	0.3333333333333333
11	2	6	3	6	4	3	4	1	1	0.5
11	1	3	5	5	4	3	4	1	0	0.3333333333333333
11	1	6	2	5	4	1	6	1	0	0.3333333333333333
11	1	1	1	4	5	3	5	1	1	0
11	2	5	5	4	1	4	3	1	0	0.5
11	1	3	3	3	4	5	1	1	1	0.16666666666666666
11	2	4	2	4	4	3	3	1	0	0.5
11	2	3	2	6	3	2	1	1	1	0.3333333333333333
228	2	2	4	4	3	3	1	2	0	0.5
228	2	4	3	4	6	3	2	2	1	0.5
228	1	6	5	3	1	2	5	2	0	0.5
228	1	3	3	1	2	1	3	1	1	0.6666666666666666
228	1	6	2	4	3	1	3	1	0	0.6666666666666666
228	1	3	3	3	3	6	5	2	1	0.8333333333333334
228	1	5	4	3	6	5	1	2	0	0.5
