"","green","Amt_Issued","YAS_Yield_Spread","BVALMidYTM","X260D_volatility","ecological_index","women_on_board","independent_directors","independence_num","ESG_Reporting","government_dummy","Cpn","mty_years_frm","years_to_maturity","call_ext_sink","perpetual","comp_return","roe","roe_bit","roc","solvency","country_risk_num","rep_risk_num","crs_rating","crif_rating","crif_peer_rating","ecological_risk","stability","number_of_former_directors","number_of_executors"
"701",0,105.7455,0.935587761674718,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,4.1,0.887063655,5.0027397260274,0,0,6.389,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,4,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"702",0,106.05975,0.935587761674718,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,3.5,0.062970568,5.0027397260274,0,0,6.389,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,4,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"703",0,211.416,0.935587761674718,0.936030617823947,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,5.47,2.327173169,5.0027397260274,0,0,6.389,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,4,0.85375,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"704",0,258.3080617,-405.2885,-2.53,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,2.5,0.076659822,0.997260273972603,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"705",0,666.403,115.2535,0.76,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,3.5,0.076659822,0.997260273972603,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"706",0,299.0691504,-1600.3307,1.09476458620244,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,3.26,3.501711157,4.98630136986301,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"707",0,1000,-776.2821,1.95541165116645,1.99843513965607,0.887174541947927,0,0,0.926553672316384,0,1,4.251,0.106776181,5.0027397260274,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"708",0,160.889,125.493,1.96,0.881951219512195,0.887174541947927,0,0,0.926553672316384,0,1,2.5,0.210814511,0.997260273972603,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"709",0,335.5799949,87,15.54,17.7137870788574,0.887174541947927,0,0,0.926553672316384,0,1,10.76,1.278576318,4.98630136986301,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"710",0,293.3520975,-88,16.53,6.83515977859497,0.887174541947927,0,0,0.926553672316384,0,1,9.4,0.205338809,4.98630136986301,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"711",0,1000,-186.5735,2.60089627584392,2.47934675216675,0.887174541947927,0,0,0.926553672316384,0,1,4.251,0.106776181,5.0027397260274,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"712",0,2000,248.4794,3.71000094860304,3.53876352310181,0.887174541947927,0,0,0.926553672316384,0,1,5.8,0.813141684,3.0027397260274,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"713",0,2000,254.9623,3.71787919505079,4.02025842666626,0.887174541947927,0,0,0.926553672316384,0,1,5.8,0.813141684,3.0027397260274,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"714",0,1250,335.1717,4.11048434297045,5.12546253204346,0.887174541947927,0,0,0.926553672316384,0,1,5.004,1.932922656,6.0027397260274,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
"715",0,1250,363.7255,4.16129600505844,5.0518536567688,0.887174541947927,0,0,0.926553672316384,0,1,5.004,1.932922656,6.0027397260274,0,0,0.881195908733281,0.881286067600989,0.881286067600989,0.806611570247934,0.848885793871866,1,2,0.858695652173913,0.889934148635936,0.886075949367089,0.876712328767123,8,0,0
